scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.5236848081567835, 2, 4.5233577061799775], meas_params:[-0.2946479763600167, -0.3372308783554707], noise_params:[0.0004, 0.000630957344480193, 7.549909516008952], init_params:[4, 5, -0.3, -0.3, 10], optimal_params:[4.5236848081567835, 4.5233577061799775, -0.2946479763600167, -0.3372308783554707, 7.549909516008952], encoded_infidelity:0.002412236884886898, benchmark_infidelity:0.0017973193926529296, diff:0.0006149174922339684, ratio:1.3421303385183647
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.2624715860418565, 2, 5.704212954623145], meas_params:[-0.30746133852150526, -0.34171889743168893], noise_params:[6e-05, 0.000630957344480193, 4.658801705447846], init_params:[3, 4, -0.2, -0.3, 15], optimal_params:[6.2624715860418565, 5.704212954623145, -0.30746133852150526, -0.34171889743168893, 4.658801705447846], encoded_infidelity:9.81631674541461e-05, benchmark_infidelity:0.0005826555230582509, diff:-0.00048449235560410475, ratio:0.16847547748094077
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 7.027587998707149, 2, 6.152231841563509], meas_params:[-0.30909671237224423, -0.3265916048565748], noise_params:[5e-05, 0.001, 3.0625849260649347], init_params:[7, 6.5, -0.3, -0.3, 5], optimal_params:[7.027587998707149, 6.152231841563509, -0.30909671237224423, -0.3265916048565748, 3.0625849260649347], encoded_infidelity:8.317690389914034e-05, benchmark_infidelity:0.0005610413125944902, diff:-0.00047786440869534985, ratio:0.14825450823664924
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.2956211329254295, 2, 5.634163345366898], meas_params:[-0.3053400127117101, -0.32665305129199], noise_params:[0.0001, 0.001, 3.6286147074673094], init_params:[7, 6.5, -0.3, -0.3, 5], optimal_params:[6.2956211329254295, 5.634163345366898, -0.3053400127117101, -0.32665305129199, 3.6286147074673094], encoded_infidelity:0.0002563917782349989, benchmark_infidelity:0.0007250485834187081, diff:-0.0004686568051837092, ratio:0.35362013539296205
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.525194459735841, 2, 4.95141825237619], meas_params:[-0.29548288891033403, -0.3272171102818461], noise_params:[0.0002, 0.001, 4.841260790210282], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.525194459735841, 4.95141825237619, -0.29548288891033403, -0.3272171102818461, 4.841260790210282], encoded_infidelity:0.0008743374441414486, benchmark_infidelity:0.0011281445091760878, diff:-0.0002538070650346391, ratio:0.7750225587500303
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.1754903587145495, 2, 4.819952990888285], meas_params:[-0.2953363423191134, -0.3308575269166324], noise_params:[0.0003, 0.001, 5.48488888210812], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.1754903587145495, 4.819952990888285, -0.2953363423191134, -0.3308575269166324, 5.48488888210812], encoded_infidelity:0.0016751720956930116, benchmark_infidelity:0.0014602956287296243, diff:0.00021487646696338736, ratio:1.147145867409271
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.800399863247291, 2, 4.55186820119016], meas_params:[-0.2855620358146119, -0.3246861091776445], noise_params:[0.0004, 0.001, 6.271403364959942], init_params:[4, 5, -0.3, -0.3, 10], optimal_params:[4.800399863247291, 4.55186820119016, -0.2855620358146119, -0.3246861091776445, 6.271403364959942], encoded_infidelity:0.002752646423938576, benchmark_infidelity:0.001877689745239941, diff:0.0008749566786986351, ratio:1.4659751063330373
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.309318092694327, 2, 3.4628461134676414], meas_params:[-0.03502679713792387, -0.2959102737477749], noise_params:[0.0005, 0.001584893192461114, 24.462514583050663], init_params:[4, 4, -0.1, -0.3, 25], optimal_params:[3.309318092694327, 3.4628461134676414, -0.03502679713792387, -0.2959102737477749, 24.462514583050663], encoded_infidelity:0.01761957619655863, benchmark_infidelity:0.010418948023216856, diff:0.007200628173341772, ratio:1.6911089447126904
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 7.0434149673841535, 2, 5.894448886888975], meas_params:[-0.29500613727330227, -0.3209344809122711], noise_params:[0.0001, 0.001584893192461114, 2.9473266615763327], init_params:[6, 6, -0.3, -0.3, 5], optimal_params:[7.0434149673841535, 5.894448886888975, -0.29500613727330227, -0.3209344809122711, 2.9473266615763327], encoded_infidelity:0.00042585147404750057, benchmark_infidelity:0.0008757433079126242, diff:-0.00044989183386512366, ratio:0.4862743114332644
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.07180679428116, 2, 5.238983779365864], meas_params:[-0.28666775210010753, -0.3203886689183125], noise_params:[0.0002, 0.001584893192461114, 3.8071593950478366], init_params:[6, 6, -0.3, -0.3, 5], optimal_params:[6.07180679428116, 5.238983779365864, -0.28666775210010753, -0.3203886689183125, 3.8071593950478366], encoded_infidelity:0.0012253921445992688, benchmark_infidelity:0.0012574972900823989, diff:-3.210514548313004e-05, ratio:0.9744690141789282
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.7779711027529075, 2, 3.5988003985149195], meas_params:[-0.03384281226230193, -0.26619429256928806], noise_params:[0.0003, 0.001584893192461114, 20.53090703634576], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[3.7779711027529075, 3.5988003985149195, -0.03384281226230193, -0.26619429256928806, 20.53090703634576], encoded_infidelity:0.009889716730067222, benchmark_infidelity:0.007411152989474368, diff:0.002478563740592854, ratio:1.3344369957161881
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.3360709008585383, 2, 3.4361034570656166], meas_params:[-0.038173078972784116, -0.2846872212224397], noise_params:[0.0004, 0.001584893192461114, 22.581855237147266], init_params:[6, 6, -0.15, -0.15, 6], optimal_params:[3.3360709008585383, 3.4361034570656166, -0.038173078972784116, -0.2846872212224397, 22.581855237147266], encoded_infidelity:0.013618314215055882, benchmark_infidelity:0.00888601761115615, diff:0.004732296603899733, ratio:1.5325553933134755
