# # This is combined data for gamma_phi = 10^-3, 10^-4. Diff only, not ratio.
================================ 
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.82773899248168, 2, 4.82773899248168], meas_params:[0.21147274386744586, 0.21147274386744586], noise_params:[8e-05, 0.001, 15.444552844092957], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.82773899248168, 0.21147274386744586, 15.444552844092957], encoded_infidelity:0.002872543667619354, benchmark_infidelity:0.002974259115616218, diff:-0.00010171544799686405, leading_ec_infidelity:0.0015526325772098337, diff_leading:-0.0016543480252066978
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.83122948183987, 2, 4.83122948183987], meas_params:[0.21140430812912261, 0.21140430812912261], noise_params:[8e-05, 0.001, 15.459864229552526], init_params:[4.82773899248168, 0.21147274386744586, 15.444552844092957], optimal_params:[4.83122948183987, 0.21140430812912261, 15.459864229552526], encoded_infidelity:0.002875473395110184, benchmark_infidelity:0.0029771961632659716, diff:-0.00010172276815578751, leading_ec_infidelity:0.001553990175365061, diff_leading:-0.0016557129435208484
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.829107627187263, 2, 4.829107627187263], meas_params:[0.21125524809381363, 0.21125524809381363], noise_params:[8e-05, 0.001, 15.483592821770426], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.829107627187263, 0.21125524809381363, 15.483592821770426], encoded_infidelity:0.0028800286525281216, benchmark_infidelity:0.0029817477640999845, diff:-0.00010171911157186297, leading_ec_infidelity:0.0015547990823753244, diff_leading:-0.0016565181939471874
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.831225047267031, 2, 4.831225047267031], meas_params:[0.2114038920493032, 0.2114038920493032], noise_params:[8e-05, 0.001, 15.45977708878916], init_params:[4.829107627187263, 0.21125524809381363, 15.483592821770426], optimal_params:[4.831225047267031, 0.2114038920493032, 15.45977708878916], encoded_infidelity:0.002875456679774957, benchmark_infidelity:0.002977179447889, diff:-0.00010172276811404313, leading_ec_infidelity:0.0015539813910468991, diff_leading:-0.0016557041591609423
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.77463599694393, 2, 4.77463599694393], meas_params:[0.21934532569758608, 0.21934532569758608], noise_params:[9e-05, 0.001, 14.09906941765296], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.77463599694393, 0.21934532569758608, 14.09906941765296], encoded_infidelity:0.0028897923878680176, benchmark_infidelity:0.0027628673956131555, diff:0.0001269249922548621, leading_ec_infidelity:0.0016244955532539462, diff_leading:-0.0014975705609990841
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.778196215647979, 2, 4.778196215647979], meas_params:[0.2197330119604321, 0.2197330119604321], noise_params:[9e-05, 0.001, 13.926347481057629], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.778196215647979, 0.2197330119604321, 13.926347481057629], encoded_infidelity:0.0028562687834767786, benchmark_infidelity:0.002729140730806656, diff:0.0001271280526701224, leading_ec_infidelity:0.0016139152008330937, diff_leading:-0.0014867871481629713
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.775535232364791, 2, 4.775535232364791], meas_params:[0.21916373219704255, 0.21916373219704255], noise_params:[9e-05, 0.001, 14.136063214055753], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.775535232364791, 0.21916373219704255, 14.136063214055753], encoded_infidelity:0.0028970167954271986, benchmark_infidelity:0.0027700906277200454, diff:0.00012692616770715315, leading_ec_infidelity:0.0016266809594416287, diff_leading:-0.0014997547917344756
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.773955956235449, 2, 4.773955956235449], meas_params:[0.21926943273777982, 0.21926943273777982], noise_params:[9e-05, 0.001, 14.102303045964412], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.773955956235449, 0.21926943273777982, 14.102303045964412], encoded_infidelity:0.002890422730587261, benchmark_infidelity:0.002763498783878937, diff:0.00012692394670832385, leading_ec_infidelity:0.001624321187895017, diff_leading:-0.0014973972411866932
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.724405508953959, 2, 4.724405508953959], meas_params:[0.22618448920094403, 0.22618448920094403], noise_params:[0.0001, 0.001, 12.898607021176527], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.724405508953959, 0.22618448920094403, 12.898607021176527], encoded_infidelity:0.0029073894461147942, benchmark_infidelity:0.0025712145935026243, diff:0.00033617485261216995, leading_ec_infidelity:0.0016934279400436791, diff_leading:-0.0013572530874315092
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.7478485371034544, 2, 4.7478485371034544], meas_params:[0.22659117407971158, 0.22659117407971158], noise_params:[0.0001, 0.001, 13.091812498067323], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.7478485371034544, 0.22659117407971158, 13.091812498067323], encoded_infidelity:0.0029460756928875176, benchmark_infidelity:0.0026095992427671577, diff:0.00033647645012035987, leading_ec_infidelity:0.00171408103314441, diff_leading:-0.0013776045830240502
