scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.7952619157121035, 1, 9], meas_params:[-0.1149146756132301, 0.0010075445996509083], noise_params:[0.0001, 0, 10.885296225213825], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.728232367550136,-0.11688537467157739,0.0010136430588941724,10.94507475059718], encoded_infidelity:1.9794058971567274e-05, benchmark_infidelity:0.00036468612720896854, diff:-0.00034489206823740126, ratio:0.05427697270268001
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.622518468374004, 1, 9], meas_params:[-0.15566244835400855, 0.0007806987857303465], noise_params:[0.0001, 0, -0.9171588922161185], init_params:[2, -0.34906585039886584, 0, 5], optimal_params:[5.6890576525091205,-0.0941276339101505,0.000865565648629017,0.9906872773994859], encoded_infidelity:1.542884985727966e-05, benchmark_infidelity:3.302168245389314e-05, diff:-1.7592832596613484e-05, ratio:0.46723391150109767
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.778543819331707, 1, 9], meas_params:[-0.11564968340128917, 0.0010122639001817688], noise_params:[0.0001, 0, 10.909529851656387], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.778543819331707, -0.11564968340128917, 0.0010122639001817688, 10.909529851656387], encoded_infidelity:1.9626061383615223e-05, benchmark_infidelity:0.0003635022678262212, diff:-0.00034387620644260597, ratio:0.05399157892736398
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.778543819331707, 1, 9], meas_params:[-0.11564968340128917, 0.0010122639001817688], noise_params:[0.0001, 0, 10.909529851656387], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.778543819331707,-0.11564968340128917,0.0010122639001817688,10.909529851656387], encoded_infidelity:1.9626061383615223e-05, benchmark_infidelity:0.0003635022678262212, diff:-0.00034387620644260597, ratio:0.05399157892736398
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.676072934574802, 1, 9], meas_params:[-0.11347316053653189, 0.002384690467077318], noise_params:[0.0001, 0, 13.208083175245019], init_params:[6, -0.34906585039886584, 0, 15], optimal_params:[5.676072934574802, -0.11347316053653189, 0.002384690467077318, 13.208083175245019], encoded_infidelity:2.402769790388337e-05, benchmark_infidelity:0.0004400514523311694, diff:-0.000416023754427286, ratio:0.05460201932432404
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.676072934574802, 1, 9], meas_params:[-0.11347316053653189, 0.002384690467077318], noise_params:[0.0001, 0, 13.208083175245019], init_params:[6, -0.34906585039886584, 0, 15], optimal_params:[5.676072934574802,-0.11347316053653189,0.002384690467077318,13.208083175245019], encoded_infidelity:2.402769790388337e-05, benchmark_infidelity:0.0004400514523311694, diff:-0.000416023754427286, ratio:0.05460201932432404
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.070595474368536, 1, 9], meas_params:[-0.09367774676816634, 0.0029226441480817242], noise_params:[0.0001, 0, 28.1005071589656], init_params:[8, -0.34906585039886584, 0, 20], optimal_params:[5.070595474368536, -0.09367774676816634, 0.0029226441480817242, 28.1005071589656], encoded_infidelity:7.495235368359943e-05, benchmark_infidelity:0.000935697293810267, diff:-0.0008607449401266676, ratio:0.08010320664537227
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.070595474368536, 1, 9], meas_params:[-0.09367774676816634, 0.0029226441480817242], noise_params:[0.0001, 0, 28.1005071589656], init_params:[8, -0.34906585039886584, 0, 20], optimal_params:[5.070595474368536,-0.09367774676816634,0.0029226441480817242,28.1005071589656], encoded_infidelity:7.495235368359943e-05, benchmark_infidelity:0.000935697293810267, diff:-0.0008607449401266676, ratio:0.08010320664537227
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.230297014785709, 1, 9], meas_params:[-0.17798171916487976, -0.00300449254552288], noise_params:[0.0002, 0, -0.5581489158711328], init_params:[2, -0.34906585039886584, 0, 5], optimal_params:[5.427576683450257,-0.10900714778406465,-0.0019138135311084744,1.230027261629476], encoded_infidelity:4.2896281094662037e-05, benchmark_infidelity:8.199425312371833e-05, diff:-3.9097972029056294e-05, ratio:0.5231620444171533
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.3726789618414905, 1, 9], meas_params:[-0.1130849510990318, 0.001781563073214953], noise_params:[0.0002, 0, 9.6774407294829], init_params:[4, -0.34906585039886584, 0, 10], optimal_params:[5.3726789618414905, -0.1130849510990318, 0.001781563073214953, 9.6774407294829], encoded_infidelity:6.775540633852106e-05, benchmark_infidelity:0.0006446947026491623, diff:-0.0005769392963106412, ratio:0.10509688703831807
