#This data misses one location of the leading EC. The location at the end of the output mode should be pushed to the trailing EC.
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.713813905442947, 4, 8.713813905442947], meas_params:[0.03266151041363336, 0.03266151041363336], noise_params:[8e-05, 0.001, 3.9225887241874986], init_params:[4, 0.2945243112740431, 5], optimal_params:[8.713813905442947, 0.03266151041363336, 3.9225887241874986], encoded_infidelity:0.0009861268596047523, benchmark_infidelity:0.0007576116819404399, diff:0.0002285151776643124, leading_ec_infidelity:0.00040188121544082467, diff_leading:-0.00017336603777651227
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.713813905442947, 4, 8.713813905442947], meas_params:[0.03266151041363336, 0.03266151041363336], noise_params:[8e-05, 0.001, 3.9225887241874986], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.57505794, 0.04025475, 2.29912093], encoded_infidelity:0.0005267915871530748, benchmark_infidelity:0.00044423710247665227, diff:8.255448467642257e-05, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.713813905442947, 4, 8.713813905442947], meas_params:[0.03266151041363336, 0.03266151041363336], noise_params:[8e-05, 0.001, 3.9225887241874986], init_params:[6, 0.2945243112740431, 15], optimal_params:[8.85007698, 0.03728657, 2.10172845], encoded_infidelity:0.0004508451744110742, benchmark_infidelity:0.00040611721393035705, diff:4.4727960480717144e-05, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.713813905442947, 4, 8.713813905442947], meas_params:[0.03266151041363336, 0.03266151041363336], noise_params:[8e-05, 0.001, 3.9225887241874986], init_params:[7, 0.2945243112740431, 20], optimal_params:[8.27517943, -0.01368991, 4.25371128], encoded_infidelity:0.001723057863612154, benchmark_infidelity:0.0008214958325224453, diff:0.0009015620310897088, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.964593158732384, 4, 8.964593158732384], meas_params:[0.043470722451250776, 0.043470722451250776], noise_params:[9e-05, 0.001, 2.7742112472310003], init_params:[4, 0.2945243112740431, 5], optimal_params:[8.964593158732384, 0.043470722451250776, 2.7742112472310003], encoded_infidelity:0.0006667818119959756, benchmark_infidelity:0.0005452088796834564, diff:0.0001215729323125192, leading_ec_infidelity:0.0002658800207199219, diff_leading:-0.0001443070884074027
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.964593158732384, 4, 8.964593158732384], meas_params:[0.043470722451250776, 0.043470722451250776], noise_params:[9e-05, 0.001, 2.7742112472310003], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.97321159, 0.0216947, 0.43232432], encoded_infidelity:0.00030803191763462134, benchmark_infidelity:8.501440462937992e-05, diff:0.00022301751300524142, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.964593158732384, 4, 8.964593158732384], meas_params:[0.043470722451250776, 0.043470722451250776], noise_params:[9e-05, 0.001, 2.7742112472310003], init_params:[6, 0.2945243112740431, 15], optimal_params:[7.83857443, 0.01789605, 0.26465143], encoded_infidelity:0.00033441928724486925, benchmark_infidelity:5.204459932739436e-05, diff:0.0002823746879174749, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.964593158732384, 4, 8.964593158732384], meas_params:[0.043470722451250776, 0.043470722451250776], noise_params:[9e-05, 0.001, 2.7742112472310003], init_params:[7, 0.2945243112740431, 20], optimal_params:[8.09676756e+00, -1.41271598e-04, 4.89207979e+00], encoded_infidelity:0.0018522046504786394, benchmark_infidelity:0.0009609091706064277, diff:0.0008912954798722117, leading_ec_infidelity:Nan, diff_leading:Nan
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.98631889098353, 4, 8.98631889098353], meas_params:[0.03895665392441543, 0.03895665392441543], noise_params:[0.0001, 0.001, 2.53111911466954], init_params:[4, 0.2945243112740431, 5], optimal_params:[8.98631889098353, 0.03895665392441543, 2.53111911466954], encoded_infidelity:0.000645146809978514, benchmark_infidelity:0.000505895636812248, diff:0.000139251173166266, leading_ec_infidelity:0.00024153972715712513, diff_leading:-0.00010228855399085912
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.98631889098353, 4, 8.98631889098353], meas_params:[0.03895665392441543, 0.03895665392441543], noise_params:[0.0001, 0.001, 2.53111911466954], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.32953246, 0.03229959, 2.05723213], encoded_infidelity:0.0005882712377148769, benchmark_infidelity:0.00041122960608797055, diff:0.00017704163162690634, leading_ec_infidelity:Nan, diff_leading:Nan
