scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.703176906952105, 3, 6.412203361914621], meas_params:[-0.11458883346775245, -0.2724636581619535], noise_params:[0.0007, 0.00025118864315095795, 18.591461759149723], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.703176906952105, 6.412203361914621, -0.11458883346775245, -0.2724636581619535, 18.591461759149723], encoded_infidelity:0.008602164355219544, benchmark_infidelity:0.0050892905569353, diff:0.003512873798284244, ratio:1.6902482298828794
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.45538269784962, 3, 6.190193288689429], meas_params:[-0.10671525719307895, -0.2712906438462048], noise_params:[0.0008, 0.00025118864315095795, 20.777848636894568], init_params:[4, 7, -0.1, -0.3, 20], optimal_params:[4.45538269784962, 6.190193288689429, -0.10671525719307895, -0.2712906438462048, 20.777848636894568], encoded_infidelity:0.011487316807367143, benchmark_infidelity:0.006367916747420321, diff:0.0051194000599468215, ratio:1.8039363991403812
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.330737209594174, 3, 8.138655816982705], meas_params:[-0.12635441030249328, -0.27746818852355265], noise_params:[0.0002, 0.00025118864315095795, 16.6561021734154], init_params:[6, 8, -0.1, -0.3, 20], optimal_params:[6.330737209594174, 8.138655816982705, -0.12635441030249328, -0.27746818852355265, 16.6561021734154], encoded_infidelity:0.0012598556326649524, benchmark_infidelity:0.0018044368185146098, diff:-0.0005445811858496574, ratio:0.6981988062635798
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.688032539650987, 3, 7.422625457024619], meas_params:[-0.1217551262521315, -0.27037719239232016], noise_params:[0.0003, 0.00025118864315095795, 15.804862594516841], init_params:[6, 8, -0.1, -0.3, 20], optimal_params:[5.688032539650987, 7.422625457024619, -0.1217551262521315, -0.27037719239232016, 15.804862594516841], encoded_infidelity:0.0021768848520483663, benchmark_infidelity:0.002237125284191621, diff:-6.024043214325481e-05, ratio:0.9730723922486878
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.974935323957121, 3, 8.666233396484209], meas_params:[-0.12553635743240502, -0.2688469241490723], noise_params:[0.0001, 0.00025118864315095795, 14.198769629558562], init_params:[6.5, 8.5, -0.1, -0.3, 20], optimal_params:[6.974935323957121, 8.666233396484209, -0.12553635743240502, -0.2688469241490723, 14.198769629558562], encoded_infidelity:0.00036832584562451753, benchmark_infidelity:0.0010665175092584578, diff:-0.0006981916636339403, ratio:0.34535377284205293
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.06238589426798, 3, 6.301010182778041], meas_params:[-0.10854375969936451, -0.25231249360884817], noise_params:[0.0006, 0.00039810717055349735, 13.932077404384579], init_params:[5, 6, -0.1, -0.3, 15], optimal_params:[5.06238589426798, 6.301010182778041, -0.10854375969936451, -0.25231249360884817, 13.932077404384579], encoded_infidelity:0.006734372511400966, benchmark_infidelity:0.0036969801878395936, diff:0.003037392323561372, ratio:1.8215873954510788
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.20591978053441, 3, 7.131828155922394], meas_params:[-0.11645855174666275, -0.23403882660097505], noise_params:[0.0002, 0.00039810717055349735, 9.40915386059864], init_params:[5, 7, -0.1, -0.3, 10], optimal_params:[6.20591978053441, 7.131828155922394, -0.11645855174666275, -0.23403882660097505, 9.40915386059864], encoded_infidelity:0.001017749328162565, benchmark_infidelity:0.0012499722250837175, diff:-0.0002322228969211526, ratio:0.814217554389579
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.744966615098917, 3, 6.748146132366294], meas_params:[-0.11035662759499157, -0.23474668216207561], noise_params:[0.0003, 0.00039810717055349735, 10.826910641806819], init_params:[5, 7, -0.1, -0.3, 10], optimal_params:[5.744966615098917, 6.748146132366294, -0.11035662759499157, -0.23474668216207561, 10.826910641806819], encoded_infidelity:0.002068836536319729, benchmark_infidelity:0.001797813949514282, diff:0.0002710225868054472, ratio:1.1507511869505016
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.595009099774826, 3, 6.78876423552815], meas_params:[-0.11504024639244637, -0.25027151800613884], noise_params:[0.0004, 0.00039810717055349735, 11.990061625826208], init_params:[5, 7, -0.1, -0.3, 10], optimal_params:[5.595009099774826, 6.78876423552815, -0.11504024639244637, -0.25027151800613884, 11.990061625826208], encoded_infidelity:0.003379417526209294, benchmark_infidelity:0.0023885065968288766, diff:0.0009909109293804175, ratio:1.4148663146654106
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.264587537852565, 3, 6.461026986564171], meas_params:[-0.10972090351961505, -0.24967848877717547], noise_params:[0.0005, 0.00039810717055349735, 13.0306288716166], init_params:[5, 7, -0.1, -0.3, 10], optimal_params:[5.264587537852565, 6.461026986564171, -0.10972090351961505, -0.24967848877717547, 13.0306288716166], encoded_infidelity:0.004957310753117228, benchmark_infidelity:0.003027144038822094, diff:0.001930166714295134, ratio:1.637619713347433
