scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.590384406333665, 4, 8.620632528779439], meas_params:[-0.053429618783447035, -0.17944694636251685], noise_params:[0.0004, 0.00015848931924611142, 19.57841793056547], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.590384406333665, 8.620632528779439, -0.053429618783447035, -0.17944694636251685, 19.57841793056547], encoded_infidelity:0.005280935400221521, benchmark_infidelity:0.0031175472792529524, diff:0.002163388120968569, ratio:1.6939391538231858
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.957747143427758, 4, 8.280762929152154], meas_params:[-0.07749180019088994, -0.14178958699388206], noise_params:[0.00030000000000000003, 0.00015848931924611142, 6.03775624061684], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.957747143427758, 8.280762929152154, -0.07749180019088994, -0.14178958699388206, 6.03775624061684], encoded_infidelity:0.0007077109288888371, benchmark_infidelity:0.0007626698740496041, diff:-5.495894516076695e-05, ratio:0.9279387490829454
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.430849662378704, 4, 8.106641701753933], meas_params:[-0.06607967613449894, -0.1419179236098022], noise_params:[0.00030000000000000003, 0.00015848931924611142, 9.633816197893811], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.430849662378704, 8.106641701753933, -0.06607967613449894, -0.1419179236098022, 9.633816197893811], encoded_infidelity:0.0012077333581717504, benchmark_infidelity:0.0012163500590031129, diff:-8.61670083136248e-06, ratio:0.9929159366848517
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.9054350716745, 4, 7.643397430507543], meas_params:[-0.07887944737670274, -0.11168000161214292], noise_params:[0.00030000000000000003, 0.00015848931924611142, 5.050137415667799], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.9054350716745, 7.643397430507543, -0.07887944737670274, -0.11168000161214292, 5.050137415667799], encoded_infidelity:0.0006440362061164881, benchmark_infidelity:0.000637998067213652, diff:6.03813890283605e-06, ratio:1.0094641962305726
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.132316124283581, 4, 8.962607159532299], meas_params:[-0.07001350260434303, -0.16571738916915038], noise_params:[0.00030000000000000003, 0.00015848931924611142, 14.665780596032391], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.132316124283581, 8.962607159532299, -0.07001350260434303, -0.16571738916915038, 14.665780596032391], encoded_infidelity:0.0022212952256037495, benchmark_infidelity:0.0018504804255458085, diff:0.00037081480005794103, ratio:1.2003883937051467
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.981878236226079, 4, 7.137380411840282], meas_params:[-0.04233806368775546, -0.11398702497622226], noise_params:[0.00035000000000000005, 0.00015848931924611142, 7.888439334511691], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.981878236226079, 7.137380411840282, -0.04233806368775546, -0.11398702497622226, 7.888439334511691], encoded_infidelity:0.0014173176841511066, benchmark_infidelity:0.0011273855448047376, diff:0.000289932139346369, ratio:1.257172127744981
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.715479850508969, 4, 8.19376305328742], meas_params:[-0.08043574885934217, -0.14791871943564638], noise_params:[0.00035000000000000005, 0.00015848931924611142, 7.133848118089507], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.715479850508969, 8.19376305328742, -0.08043574885934217, -0.14791871943564638, 7.133848118089507], encoded_infidelity:0.0011191371578291814, benchmark_infidelity:0.001019655035034872, diff:9.948212279430936e-05, ratio:1.0975644893382075
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.4971592256259365, 4, 7.881916279384619], meas_params:[-0.07429869156220975, -0.13510096850104497], noise_params:[0.00035000000000000005, 0.00015848931924611142, 6.844435278137965], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.4971592256259365, 7.881916279384619, -0.07429869156220975, -0.13510096850104497, 6.844435278137965], encoded_infidelity:0.0010704676047689824, benchmark_infidelity:0.0009783301886479023, diff:9.213741612108003e-05, ratio:1.0941782408334124
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.82747333247783, 4, 8.739087782880606], meas_params:[-0.05986893570131661, -0.16979559579523257], noise_params:[0.00035000000000000005, 0.00015848931924611142, 17.70473903082305], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.82747333247783, 8.739087782880606, -0.05986893570131661, -0.16979559579523257, 17.70473903082305], encoded_infidelity:0.0037079229329550077, benchmark_infidelity:0.002526656335409494, diff:0.0011812665975455138, ratio:1.4675216732053378
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.038988031710399, 4, 8.277020232120092], meas_params:[-0.02379003721833179, -0.13381978434111128], noise_params:[0.0001, 0.00025118864315095795, 16.729822747741277], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[7.038988031710399, 8.277020232120092, -0.02379003721833179, -0.13381978434111128, 16.729822747741277], encoded_infidelity:0.0007553157498550122, benchmark_infidelity:0.0012563809929971859, diff:-0.0005010652431421737, ratio:0.6011836807982529
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.119216282608868, 4, 8.581528636608555], meas_params:[-0.04530613445891086, -0.0976858158164593], noise_params:[0.0001, 0.00025118864315095795, 7.999595289653634], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[7.119216282608868, 8.581528636608555, -0.04530613445891086, -0.0976858158164593, 7.999595289653634], encoded_infidelity:0.00025756877136677526, benchmark_infidelity:0.0006011724083284653, diff:-0.00034360363696169004, ratio:0.4284440998929649
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.0, 4, 8.0], meas_params:[-0.1, -0.1], noise_params:[0.0001, 0.00025118864315095795, 15.0], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.0, 8.0, -0.1, -0.1, 15.0], encoded_infidelity:0.008781512915191664, benchmark_infidelity:0.0011266289648634853, diff:0.0076548839503281785, ratio:7.794503060957365
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.9635516710131675, 4, 8.381427172481482], meas_params:[-0.047243723244102, -0.1301137257482196], noise_params:[0.0001, 0.00025118864315095795, 15.846672565698498], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[7.9635516710131675, 8.381427172481482, -0.047243723244102, -0.1301137257482196, 15.846672565698498], encoded_infidelity:0.0006586713523215584, benchmark_infidelity:0.00119014136076101, diff:-0.0005314700084394516, ratio:0.5534395946884707
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.181067974198102, 4, 8.270879021088188], meas_params:[-0.06633081690122782, -0.12171127461922801], noise_params:[0.0002, 0.00025118864315095795, 7.1789691945868706], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[7.181067974198102, 8.270879021088188, -0.06633081690122782, -0.12171127461922801, 7.1789691945868706], encoded_infidelity:0.0005684833173840077, benchmark_infidelity:0.0007785352454993122, diff:-0.0002100519281153045, ratio:0.7301959939134315
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.344812655988823, 4, 8.755211517397601], meas_params:[-0.06562836113173906, -0.14465196608040726], noise_params:[0.0002, 0.00025118864315095795, 8.839436148860699], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[7.344812655988823, 8.755211517397601, -0.06562836113173906, -0.14465196608040726, 8.839436148860699], encoded_infidelity:0.0007275681080983859, benchmark_infidelity:0.0009584341234805116, diff:-0.00023086601538212573, ratio:0.7591216655102534
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.0, 4, 8.0], meas_params:[-0.1, -0.1], noise_params:[0.0002, 0.00025118864315095795, 15.0], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.0, 8.0, -0.1, -0.1, 15.0], encoded_infidelity:0.009207284878724244, benchmark_infidelity:0.0016253160282846402, diff:0.007581968850439604, ratio:5.6649197562160385
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.587344221344695, 4, 8.16980893914424], meas_params:[-0.03510326827617941, -0.15180932404580194], noise_params:[0.0002, 0.00025118864315095795, 18.016179164125028], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.587344221344695, 8.16980893914424, -0.03510326827617941, -0.15180932404580194, 18.016179164125028], encoded_infidelity:0.0022510589966506455, benchmark_infidelity:0.0019514918058098907, diff:0.0002995671908407548, ratio:1.1535067633637495
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.162090092193398, 4, 7.311971025455948], meas_params:[-0.048736192850327265, -0.119663610113234], noise_params:[0.0004, 0.00025118864315095795, 7.1137984823611635], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.162090092193398, 7.311971025455948, -0.048736192850327265, -0.119663610113234, 7.1137984823611635], encoded_infidelity:0.0018829621758793466, benchmark_infidelity:0.0012447564701840719, diff:0.0006382057056952748, ratio:1.512715314989203
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.41110658115087, 4, 8.52794139882586], meas_params:[-0.06500870173294519, -0.16757301786057682], noise_params:[0.0004, 0.00025118864315095795, 10.613732754412542], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.41110658115087, 8.52794139882586, -0.06500870173294519, -0.16757301786057682, 10.613732754412542], encoded_infidelity:0.0030364873442728824, benchmark_infidelity:0.0018560178929875049, diff:0.0011804694512853775, ratio:1.6360226675321845
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.0, 4, 8.0], meas_params:[-0.1, -0.1], noise_params:[0.0004, 0.00025118864315095795, 15.0], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.0, 8.0, -0.1, -0.1, 15.0], encoded_infidelity:0.010963409000442327, benchmark_infidelity:0.002621008625558807, diff:0.00834240037488352, ratio:4.182896955596586
