scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.849136885034379, 4, 7.898666208664645], meas_params:[-0.08048845691652196, -0.1689381704563525], noise_params:[0.0004, 0, 18.057177767867557], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.849136885034379, 7.898666208664645, -0.08048845691652196, -0.1689381704563525, 18.057177767867557], encoded_infidelity:0.001664658608175329, benchmark_infidelity:0.0024011155316659982, diff:-0.0007364569234906693, ratio:0.6932855109309616
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.618507092444316, 4, 7.020199913901301], meas_params:[-0.08751498996832108, -0.15943284924049106], noise_params:[0.0008, 0, 11.572824374120696], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.618507092444316, 7.020199913901301, -0.08751498996832108, -0.15943284924049106, 11.572824374120696], encoded_infidelity:0.0037747163378886173, benchmark_infidelity:0.003075399576038973, diff:0.0006993167618496443, ratio:1.2273905372486082
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.603738682914533, 4, 6.94216746979848], meas_params:[-0.08583313528640037, -0.15576099448466837], noise_params:[0.0008, 0, 11.102879376983076], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[5.603738682914533, 6.94216746979848, -0.08583313528640037, -0.15576099448466837, 11.102879376983076], encoded_infidelity:0.0036370996501492447, benchmark_infidelity:0.0029509302032441065, diff:0.0006861694469051383, ratio:1.2325264915282637
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.276994425791855, 4, 7.013351347012076], meas_params:[-0.07632596525854035, -0.16467230523032816], noise_params:[0.0008, 0, 16.17507385161977], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.276994425791855, 7.013351347012076, -0.07632596525854035, -0.16467230523032816, 16.17507385161977], encoded_infidelity:0.005193156308013092, benchmark_infidelity:0.004292497401828244, diff:0.000900658906184848, ratio:1.209821654359358
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.095883810740209, 4, 7.009156305045696], meas_params:[-0.07200220988725566, -0.16997498083189488], noise_params:[0.0008, 0, 19.250445658477183], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.095883810740209, 7.009156305045696, -0.07200220988725566, -0.16997498083189488, 19.250445658477183], encoded_infidelity:0.006180826338433754, benchmark_infidelity:0.005103932188301186, diff:0.001076894150132568, ratio:1.2109930364280577
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.571699177543318, 4, 7.277834885220965], meas_params:[-0.08034084758368705, -0.16062224057675215], noise_params:[0.0006000000000000001, 0, 15.362475731165429], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.571699177543318, 7.277834885220965, -0.08034084758368705, -0.16062224057675215, 15.362475731165429], encoded_infidelity:0.0029625984318005782, benchmark_infidelity:0.0030619020274439412, diff:-9.9303595643363e-05, ratio:0.9675680035633729
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.95085033441921, 4, 7.399395125733873], meas_params:[-0.09222856109890076, -0.1597983755477108], noise_params:[0.0006000000000000001, 0, 11.298552201717573], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[5.95085033441921, 7.399395125733873, -0.09222856109890076, -0.1597983755477108, 11.298552201717573], encoded_infidelity:0.0021897835912162433, benchmark_infidelity:0.0022539766637498238, diff:-6.419307253358042e-05, ratio:0.9715200811232954
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.866476955672431, 4, 7.3401199712412435], meas_params:[-0.09047083301187364, -0.15972817849608545], noise_params:[0.0006000000000000001, 0, 12.11145271559856], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.866476955672431, 7.3401199712412435, -0.09047083301187364, -0.15972817849608545, 12.11145271559856], encoded_infidelity:0.002341519747147136, benchmark_infidelity:0.002415702917924256, diff:-7.418317077712011e-05, ratio:0.9692912691263943
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.31737111295136, 4, 7.3947331801956295], meas_params:[-0.07836310301558758, -0.17548733804812588], noise_params:[0.0006000000000000001, 0, 21.32985803160623], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.31737111295136, 7.3947331801956295, -0.07836310301558758, -0.17548733804812588, 21.32985803160623], encoded_infidelity:0.004194137174721058, benchmark_infidelity:0.004245570851480696, diff:-5.143367675963795e-05, ratio:0.9878853330779535
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.65670023152876, 4, 7.228389925545234], meas_params:[-0.08693864601648814, -0.16185833414601594], noise_params:[0.0007000000000000001, 0, 12.405472217763286], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.65670023152876, 7.228389925545234, -0.08693864601648814, -0.16185833414601594, 12.405472217763286], encoded_infidelity:0.003171540645935611, benchmark_infidelity:0.0028852067630970035, diff:0.0002863338828386075, ratio:1.0992420669814507
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.58770059383786, 4, 7.190167381832803], meas_params:[-0.08569961259153812, -0.16000166997924878], noise_params:[0.0007000000000000001, 0, 13.270039405806493], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[5.58770059383786, 7.190167381832803, -0.08569961259153812, -0.16000166997924878, 13.270039405806493], encoded_infidelity:0.0033835816955747333, benchmark_infidelity:0.00308558454609964, diff:0.00029799714947509326, ratio:1.0965772109053953
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.495955231383746, 4, 7.2101118476704755], meas_params:[-0.08033171996424981, -0.164653510909675], noise_params:[0.0007000000000000001, 0, 14.597771576731361], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.495955231383746, 7.2101118476704755, -0.08033171996424981, -0.164653510909675, 14.597771576731361], encoded_infidelity:0.003711887003773562, benchmark_infidelity:0.003393131599160326, diff:0.0003187554046132357, ratio:1.0939413622189353
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 5.114922713400471, 4, 7.9436150999542985], meas_params:[-0.0781669522842332, -0.20100221961100728], noise_params:[0.0007000000000000001, 0, 26.574113145156232], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.114922713400471, 7.9436150999542985, -0.0781669522842332, -0.20100221961100728, 26.574113145156232], encoded_infidelity:0.006989869903133106, benchmark_infidelity:0.006157595229870361, diff:0.0008322746732627451, ratio:1.1351622901787046
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.630499621945359, 2, 5.066330942201793], meas_params:[-0.3092703505368506, -0.3342606491254775], noise_params:[0.0001, 0, 9.88689833432883], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.630499621945359, 5.066330942201793, -0.3092703505368506, -0.3342606491254775, 9.88689833432883], encoded_infidelity:0.00019234959953662312, benchmark_infidelity:0.00032944112291277694, diff:-0.00013709152337615382, ratio:0.5838663911655915
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.180497990174011, 2, 4.765551253134673], meas_params:[-0.3032469101910772, -0.3397720029365302], noise_params:[0.0002, 0, 13.298085180028401], init_params:[5, 5, -0.3, -0.3, 12], optimal_params:[4.180497990174011, 4.765551253134673, -0.3032469101910772, -0.3397720029365302, 13.298085180028401], encoded_infidelity:0.0007946230861800574, benchmark_infidelity:0.0008856554694921526, diff:-9.103238331209518e-05, ratio:0.8972146772104344
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.730637032269188, 2, 4.338391881353644], meas_params:[-0.2900886174640951, -0.3368705037742017], noise_params:[0.0004, 0, 15.365045913274482], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.730637032269188, 4.338391881353644, -0.2900886174640951, -0.3368705037742017, 15.365045913274482], encoded_infidelity:0.002654265653675325, benchmark_infidelity:0.002043959145587082, diff:0.000610306508088243, ratio:1.2985903653729567
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.292130148042749, 2, 4.041009341006248], meas_params:[-0.26687615504952233, -0.33423829859882037], noise_params:[0.0006, 0, 22.054779457560002], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.292130148042749, 4.041009341006248, -0.26687615504952233, -0.33423829859882037, 22.054779457560002], encoded_infidelity:0.006807878484885621, benchmark_infidelity:0.004389147512227631, diff:0.0024187309726579898, ratio:1.551070786734713
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.9055137426846027, 2, 3.775820746404964], meas_params:[-0.2288315806780431, -0.33829202728256536], noise_params:[0.0008, 0, 33.23758803693019], init_params:[4, 4, -0.2, -0.3, 15], optimal_params:[2.9055137426846027, 3.775820746404964, -0.2288315806780431, -0.33829202728256536, 33.23758803693019], encoded_infidelity:0.01472419202670816, benchmark_infidelity:0.008775626721976404, diff:0.005948565304731757, ratio:1.6778507670381004
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 3.9557945028332364, 2, 4.527022135407062], meas_params:[-0.29691453562327075, -0.33447704540422296], noise_params:[0.0003, 0, 13.554032738271417], init_params:[5, 5, -0.3, -0.3, 12], optimal_params:[3.9557945028332364, 4.527022135407062, -0.29691453562327075, -0.33447704540422296, 13.554032738271417], encoded_infidelity:0.0015170556106666178, benchmark_infidelity:0.0013533388483124575, diff:0.00016371676235416022, ratio:1.1209724841330806
