scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.683744486912449, 2, 5.298082987041678], meas_params:[-0.32747783157420984, -0.3234530670553709], noise_params:[0.0001, 0.00039810717055349735, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.683744486912449, 5.298082987041678, -0.32747783157420984, -0.3234530670553709], encoded_infidelity:6.932993578034896e-05, benchmark_infidelity:9.967335803029442e-05, diff:-3.0343422249945462e-05, ratio:0.6955713858790332
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.298868527475, 2, 4.927335080087786], meas_params:[-0.32736224455749885, -0.3228365962878258], noise_params:[0.0002, 0.00039810717055349735, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.298868527475, 4.927335080087786, -0.32736224455749885, -0.3228365962878258], encoded_infidelity:0.0002123187607242505, benchmark_infidelity:0.0001329996246255405, diff:7.931913609871e-05, ratio:1.5963861651642437
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.459021396262894, 2, 5.082103282602713], meas_params:[-0.3274189704304943, -0.3231250750794907], noise_params:[0.00015000000000000001, 0.00039810717055349735, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.459021396262894, 5.082103282602713, -0.3274189704304943, -0.3231250750794907], encoded_infidelity:0.00013380443396471264, benchmark_infidelity:0.00011633680376788025, diff:1.7467630196832395e-05, ratio:1.150147069810208
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.56008937920025, 2, 5.1797071088398], meas_params:[-0.32746442300877454, -0.3233029756725543], noise_params:[0.000125, 0.00039810717055349735, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.56008937920025, 5.1797071088398, -0.32746442300877454, -0.3233029756725543], encoded_infidelity:9.964879988011432e-05, benchmark_infidelity:0.00010800515901099317, diff:-8.356359130878843e-06, ratio:0.9226300002018579
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.842642043594466, 2, 5.449987755504555], meas_params:[-0.32749715866280554, -0.32365555506581], noise_params:[7.5e-05, 0.00039810717055349735, 1], init_params:[6, 6, -0.3, -0.3], optimal_params:[5.842642043594466, 5.449987755504555, -0.32749715866280554, -0.32365555506581], encoded_infidelity:4.329723146356823e-05, benchmark_infidelity:9.134140082311948e-05, diff:-4.804416935955125e-05, ratio:0.4740154089317321
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 6.066209380816542, 2, 5.662652065075056], meas_params:[-0.3274966725747165, -0.3239093300993463], noise_params:[5e-05, 0.00039810717055349735, 1], init_params:[6, 6, -0.3, -0.3], optimal_params:[6.066209380816542, 5.662652065075056, -0.3274966725747165, -0.3239093300993463], encoded_infidelity:2.2180377071912005e-05, benchmark_infidelity:8.300928738569358e-05, diff:-6.082891031378157e-05, ratio:0.26720355963126524
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.933517173298421, 2, 5.455984014177782], meas_params:[-0.325993885090301, -0.3230610974248863], noise_params:[0.0001, 0.000630957344480193, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.933517173298421, 5.455984014177782, -0.325993885090301, -0.3230610974248863], encoded_infidelity:8.373892343949141e-05, benchmark_infidelity:0.00013846979770948398, diff:-5.473087426999257e-05, ratio:0.6047450406129684
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.487852352925282, 2, 5.044282949282538], meas_params:[-0.32588020626436887, -0.32237439517672123], noise_params:[0.0002, 0.000630957344480193, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.487852352925282, 5.044282949282538, -0.32588020626436887, -0.32237439517672123], encoded_infidelity:0.0002486594770414463, benchmark_infidelity:0.00017179412453260934, diff:7.686535250883697e-05, ratio:1.4474271324351764
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.672318096728786, 2, 5.215255650528885], meas_params:[-0.32595422234208543, -0.32269346948887656], noise_params:[0.00015000000000000001, 0.000630957344480193, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.672318096728786, 5.215255650528885, -0.32595422234208543, -0.32269346948887656], encoded_infidelity:0.00015867762904175908, benchmark_infidelity:0.00015513227354890802, diff:3.5453554928510655e-06, ratio:1.0228537583556612
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.790251047484804, 2, 5.323810071692048], meas_params:[-0.3260115359740367, -0.32288271253054635], noise_params:[0.000125, 0.000630957344480193, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.790251047484804, 5.323810071692048, -0.3260115359740367, -0.32288271253054635], encoded_infidelity:0.00011913836063881522, benchmark_infidelity:0.0001468011137374381, diff:-2.7662753098622872e-05, ratio:0.8115630570208123
