scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.141473613763516, 3, 5.141473613763516], meas_params:[-0.10904514261612105, -0.10904514261612105], noise_params:[0.0002, 0, 2.283470474805652], init_params:[2, -0.34906585039886584, 5], optimal_params:[5.141473613763516, -0.10904514261612105, 2.283470474805652], encoded_infidelity:0.00023387863304569212, benchmark_infidelity:0.000152205297106911, diff:8.167333593878112e-05, ratio:1.5365998259667184
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.189840814679975, 3, 5.189840814679975], meas_params:[-0.1314389395210353, -0.1314389395210353], noise_params:[0.0002, 0, 7.868754000030405], init_params:[4, -0.34906585039886584, 10], optimal_params:[5.189840814679975, -0.1314389395210353, 7.868754000030405], encoded_infidelity:0.000493594768405381, benchmark_infidelity:0.0005242741488430402, diff:-3.0679380437659276e-05, ratio:0.9414821796852619
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.935496752075135, 3, 8.935496752075135], meas_params:[-0.290376457590539, -0.290376457590539], noise_params:[0.0002, 0, 4.008519006200412], init_params:[6, -0.34906585039886584, 15], optimal_params:[8.935496752075135, -0.290376457590539, 4.008519006200412], encoded_infidelity:0.0001439626765709079, benchmark_infidelity:0.00026715427717860507, diff:-0.00012319160060769718, ratio:0.5388746835397367
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.97664887030988, 3, 8.97664887030988], meas_params:[-0.2964608002444993, -0.2964608002444993], noise_params:[0.0002, 0, 6.581872918731108], init_params:[8, -0.34906585039886584, 20], optimal_params:[8.97664887030988, -0.2964608002444993, 6.581872918731108], encoded_infidelity:0.0002552042959610423, benchmark_infidelity:0.00043857500183952514, diff:-0.0001833707058784828, ratio:0.5818943051715969
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.791487455056043, 3, 4.791487455056043], meas_params:[-0.13228775365057444, -0.13228775365057444], noise_params:[0.0004, 0, 8.60101194873668], init_params:[2, -0.34906585039886584, 5], optimal_params:[4.791487455056043, -0.13228775365057444, 8.60101194873668], encoded_infidelity:0.0015928438155392577, benchmark_infidelity:0.001145323457897085, diff:0.0004475203576421727, ratio:1.3907370922654982
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.827850553376571, 3, 4.827850553376571], meas_params:[-0.13177494325145123, -0.13177494325145123], noise_params:[0.0004, 0, 7.84769457782582], init_params:[4, -0.34906585039886584, 10], optimal_params:[4.827850553376571, -0.13177494325145123, 7.84769457782582], encoded_infidelity:0.0014562017811176053, benchmark_infidelity:0.0010451286241052182, diff:0.0004110731570123871, ratio:1.393323029846518
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.335094063928569, 3, 8.335094063928569], meas_params:[-0.2908066159265375, -0.2908066159265375], noise_params:[0.0004, 0, 4.226908486381421], init_params:[6, -0.34906585039886584, 15], optimal_params:[8.335094063928569, -0.2908066159265375, 4.226908486381421], encoded_infidelity:0.0006348270120687394, benchmark_infidelity:0.0005632306308384072, diff:7.159638123033218e-05, ratio:1.1271173428969161
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.793746019910818, 3, 4.793746019910818], meas_params:[-0.13224887781182026, -0.13224887781182026], noise_params:[0.0004, 0, 8.263771534799176], init_params:[8, -0.34906585039886584, 20], optimal_params:[4.793746019910818, -0.13224887781182026, 8.263771534799176], encoded_infidelity:0.0015310525908492911, benchmark_infidelity:0.0011004716593797648, diff:0.00043058093146952636, ratio:1.3912694414249662
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.726713407509038, 4, 5.726713407509038], meas_params:[0.029688852613871088, 0.029688852613871088], noise_params:[0.0001, 0, -0.8916196717979972], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.9844095581635735,0.00934064383347553,0.8177699876373845], encoded_infidelity:0.0006958146129405485, benchmark_infidelity:2.7258163672549962e-05, diff:0.0006685564492679985, ratio:25.526833769850057
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.972462461306225, 4, 8.972462461306225], meas_params:[-0.132321895784724, -0.132321895784724], noise_params:[0.0001, 0, 4.7040874322243145], init_params:[4, -0.2945243112740431, 10], optimal_params:[8.972462461306225, -0.132321895784724, 4.7040874322243145], encoded_infidelity:1.966380787443711e-05, benchmark_infidelity:0.00015677525747292975, diff:-0.00013711144959849264, ratio:0.1254267299024047
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.994114974128099, 4, 8.994114974128099], meas_params:[-0.13267033246699478, -0.13267033246699478], noise_params:[0.0001, 0, 4.451241011318368], init_params:[6, -0.2945243112740431, 15], optimal_params:[8.994114974128099, -0.13267033246699478, 4.451241011318368], encoded_infidelity:1.8471084153648398e-05, benchmark_infidelity:0.00014834993650592043, diff:-0.00012987885235227203, ratio:0.12451022621712578
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.999505416322908, 4, 8.999505416322908], meas_params:[-0.1323046600387586, -0.1323046600387586], noise_params:[0.0001, 0, 4.970635759599789], init_params:[8, -0.2945243112740431, 20], optimal_params:[8.999505416322908, -0.1323046600387586, 4.970635759599789], encoded_infidelity:2.0796973782655215e-05, benchmark_infidelity:0.00016565697889225905, diff:-0.00014486000510960384, ratio:0.1255423944208307
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.726713407509038, 4, 5.726713407509038], meas_params:[0.029688852613871088, 0.029688852613871088], noise_params:[0.0002, 0, -0.8916196717979972], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.9844095581635735,0.00934064383347553,0.8177699876373845], encoded_infidelity:0.0011067423209848437, benchmark_infidelity:5.4514655589144034e-05, diff:0.0010522276653956997, ratio:20.301739211670608
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.93259480528694, 4, 8.93259480528694], meas_params:[-0.1422471390149802, -0.1422471390149802], noise_params:[0.0002, 0, 3.6163015292873464], init_params:[4, -0.2945243112740431, 10], optimal_params:[8.93259480528694, -0.1422471390149802, 3.6163015292873464], encoded_infidelity:6.603578698471946e-05, benchmark_infidelity:0.00024102139357007335, diff:-0.0001749856065853539, ratio:0.27398309339507054
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.6717405672169825, 4, 7.6717405672169825], meas_params:[-0.1412849712690567, -0.1412849712690567], noise_params:[0.0002, 0, 14.04959906339431], init_params:[6, -0.2945243112740431, 15], optimal_params:[7.6717405672169825, -0.1412849712690567, 14.04959906339431], encoded_infidelity:0.0004870988619475325, benchmark_infidelity:0.000935653751255594, diff:-0.00044855488930806153, ratio:0.5205973484249634
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.465764530938943, 4, 7.465764530938943], meas_params:[-0.117853198336236, -0.117853198336236], noise_params:[0.0002, 0, 6.208407565986832], init_params:[8, -0.2945243112740431, 20], optimal_params:[7.465764530938943, -0.117853198336236, 6.208407565986832], encoded_infidelity:0.00016302409688073727, benchmark_infidelity:0.0004137011825630088, diff:-0.00025067708568227154, ratio:0.3940624386682962
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.156120246650161, 4, 5.156120246650161], meas_params:[-0.023277984186415093, -0.023277984186415093], noise_params:[0.0004, 0, -0.10208800224297399], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.604014117590989,-0.02597058070004859,1.3441244340073988], encoded_infidelity:0.002245753015300056, benchmark_infidelity:0.00017918046318687875, diff:0.0020665725521131773, ratio:12.53347030896899
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.863639232168868, 4, 7.863639232168868], meas_params:[-0.13606040849051193, -0.13606040849051193], noise_params:[0.0004, 0, 3.64230165788944], init_params:[4, -0.2945243112740431, 10], optimal_params:[7.863639232168868, -0.13606040849051193, 3.64230165788944], encoded_infidelity:0.00031006556011015096, benchmark_infidelity:0.00048537500116763166, diff:-0.0001753094410574807, ratio:0.6388165013942798
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.034364508377726, 4, 8.034364508377726], meas_params:[-0.14129391754752285, -0.14129391754752285], noise_params:[0.0004, 0, 3.9225732647688005], init_params:[6, -0.2945243112740431, 15], optimal_params:[8.034364508377726, -0.14129391754752285, 3.9225732647688005], encoded_infidelity:0.00032858038153016356, benchmark_infidelity:0.0005227021710906277, diff:-0.0001941217895604641, ratio:0.6286187425710794
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.497372067952853, 4, 7.497372067952853], meas_params:[-0.1296705831414235, -0.1296705831414235], noise_params:[0.0004, 0, 4.74974266391869], init_params:[8, -0.2945243112740431, 20], optimal_params:[7.497372067952853, -0.1296705831414235, 4.74974266391869], encoded_infidelity:0.0004183751567344851, benchmark_infidelity:0.0006328480587676211, diff:-0.00021447290203313596, ratio:0.6610989019215915
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.156120246650161, 4, 5.156120246650161], meas_params:[-0.023277984186415093, -0.023277984186415093], noise_params:[0.0008, 0, -0.10208800224297399], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.604014117590989,-0.02597058070004859,1.3441244340073988], encoded_infidelity:0.0035532562880082885, benchmark_infidelity:0.0003582886919231143, diff:0.0031949675960851742, ratio:9.917299563478233
