scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.361148322081126, 1, 9], meas_params:[-0.043426091254504876, 0], noise_params:[0.0016, 0.00025118864315095795, 9.428570398180813], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.361148322081126, -0.043426091254504876, 9.428570398180813], encoded_infidelity:0.004362302087356013, benchmark_infidelity:0.0053917692932872185, diff:-0.0010294672059312053, ratio:0.8090669036575995
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.941485245128327, 1, 9], meas_params:[-0.038352371442995414, 0], noise_params:[0.0016, 0.00025118864315095795, 15.162099209537118], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.941485245128327, -0.038352371442995414, 15.162099209537118], encoded_infidelity:0.007871643713800655, benchmark_infidelity:0.008639889629710518, diff:-0.0007682459159098626, ratio:0.9110815127466387
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.762103123571124, 1, 9], meas_params:[-0.024051125761311715, 0], noise_params:[0.0016, 0.00025118864315095795, 15.698213747357425], init_params:[6, -0.2945243112740431, 15], optimal_params:[4.762103123571124, -0.024051125761311715, 15.698213747357425], encoded_infidelity:0.008166047752603798, benchmark_infidelity:0.008942429806833352, diff:-0.000776382054229554, ratio:0.9131799666309618
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.654751926325943, 1, 9], meas_params:[-0.04913840995360108, 0], noise_params:[0.0032, 0.00025118864315095795, 6.732562155573554], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.654751926325943, -0.04913840995360108, 6.732562155573554], encoded_infidelity:0.009367556871665472, benchmark_infidelity:0.007402445545860892, diff:0.00196511132580458, ratio:1.2654678529723706
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.8631255398059112, 1, 9], meas_params:[-0.029616280195556177, 0], noise_params:[0.0032, 0.00025118864315095795, 18.032439160697006], init_params:[4, -0.2945243112740431, 10], optimal_params:[3.8631255398059112, -0.029616280195556177, 18.032439160697006], encoded_infidelity:0.026325858416522154, benchmark_infidelity:0.019557595684092988, diff:0.0067682627324291665, ratio:1.3460682407875972
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.5910493827160446, 1, 9], meas_params:[-0.003895343257247434, 0], noise_params:[0.0032, 0.00025118864315095795, 24.976537494284422], init_params:[6, -0.2945243112740431, 15], optimal_params:[3.5910493827160446, -0.003895343257247434, 24.976537494284422], encoded_infidelity:0.03936301493561507, benchmark_infidelity:0.02686365526242762, diff:0.012499359673187452, ratio:1.4652888652375413
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.931283684405386, 1, 9], meas_params:[-0.04950009083135415, 0], noise_params:[0.0024000000000000002, 0.00025118864315095795, 6.586539493260105], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.931283684405386, -0.04950009083135415, 6.586539493260105], encoded_infidelity:0.00585767514112122, benchmark_infidelity:0.005511592877218252, diff:0.0003460822639029682, ratio:1.0627916959058192
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.274463198660349, 1, 9], meas_params:[-0.02547502113003898, 0], noise_params:[0.0024000000000000002, 0.00025118864315095795, 16.163352174228297], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.274463198660349, -0.02547502113003898, 16.163352174228297], encoded_infidelity:0.015296393522324606, benchmark_infidelity:0.013407591804600494, diff:0.0018888017177241118, ratio:1.1408755386687723
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.190424075633294, 1, 9], meas_params:[-0.020873607674406318, 0], noise_params:[0.0024000000000000002, 0.00025118864315095795, 17.514481907419125], init_params:[6, -0.2945243112740431, 15], optimal_params:[4.190424075633294, -0.020873607674406318, 17.514481907419125], encoded_infidelity:0.016970672458172548, benchmark_infidelity:0.014510475878889983, diff:0.002460196579282564, ratio:1.1695462367889455
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.207932892717713, 1, 9], meas_params:[-0.052303378877784454, 0], noise_params:[0.002, 0.00025118864315095795, 7.135245463655274], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.207932892717713, -0.052303378877784454, 7.135245463655274], encoded_infidelity:0.004673578742603622, benchmark_infidelity:0.005027933790491268, diff:-0.0003543550478876459, ratio:0.9295227298820451
