scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.290296307091599, 1, 9], meas_params:[-0.01568852222416456, 0], noise_params:[0.0006000000000000001, 0.00015848931924611142, 46.79941330494822], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.290296307091599, -0.01568852222416456, 46.79941330494822], encoded_infidelity:0.010522300873325278, benchmark_infidelity:0.010478797121463934, diff:4.350375186134431e-05, ratio:1.004151597874935
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3109548493631458, 1, 9], meas_params:[-0.027634233426854986, 0], noise_params:[0.0006000000000000001, 0.00015848931924611142, 46.83578116311], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.3109548493631458, -0.027634233426854986, 46.83578116311], encoded_infidelity:0.010499216331925031, benchmark_infidelity:0.010486849699507306, diff:1.2366632417725593e-05, ratio:1.0011792514217408
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3734844262988455, 1, 9], meas_params:[-0.02871134684807372, 0], noise_params:[0.0006000000000000001, 0.00015848931924611142, 36.26659576749192], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.3734844262988455, -0.02871134684807372, 36.26659576749192], encoded_infidelity:0.00820868877767574, benchmark_infidelity:0.008140739535683839, diff:6.794924199190165e-05, ratio:1.0083468144010819
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.440853698782979, 1, 9], meas_params:[-0.021260612064264217, 0], noise_params:[0.0005, 0.00015848931924611142, 37.4111415802697], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.440853698782979, -0.021260612064264217, 37.4111415802697], encoded_infidelity:0.006826136414716834, benchmark_infidelity:0.00716924112094619, diff:-0.00034310470622935657, ratio:0.9521421165167794
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.4450969235254654, 1, 9], meas_params:[-0.022064542338139745, 0], noise_params:[0.0005, 0.00015848931924611142, 35.08147571716903], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.4450969235254654, -0.022064542338139745, 35.08147571716903], encoded_infidelity:0.0064447403994408155, benchmark_infidelity:0.006725945404489786, diff:-0.00028120500504897044, ratio:0.9581910068938031
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.5265656234265865, 1, 9], meas_params:[-0.05329858464361757, 0], noise_params:[0.0005, 0.00015848931924611142, 29.737657573624702], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.5265656234265865, -0.05329858464361757, 29.737657573624702], encoded_infidelity:0.005541098609674042, benchmark_infidelity:0.005707535431657695, diff:-0.00016643682198365373, ratio:0.970839108407372
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.457204323783893, 1, 9], meas_params:[-0.10414928598499115, 0], noise_params:[0.00055, 0.00015848931924611142, 26.426352412547214], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.457204323783893, -0.10414928598499115, 26.426352412547214], encoded_infidelity:0.005959366242701841, benchmark_infidelity:0.005510800585160847, diff:0.00044856565754099447, ratio:1.0813975484340452
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.310146255858129, 1, 9], meas_params:[-0.016831036849787186, 0], noise_params:[0.00055, 0.00015848931924611142, 48.973532102568406], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.310146255858129, -0.016831036849787186, 48.973532102568406], encoded_infidelity:0.00993592591539131, benchmark_infidelity:0.010162316979844044, diff:-0.00022639106445273421, ratio:0.9777224952831368
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.446169837082313, 1, 9], meas_params:[-0.0426343180557147, 0], noise_params:[0.00055, 0.00015848931924611142, 36.97878003622232], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.446169837082313, -0.0426343180557147, 36.97878003622232], encoded_infidelity:0.007535070322287242, benchmark_infidelity:0.0076935199934501375, diff:-0.00015844967116289584, ratio:0.9794047885366137
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.846760220016634, 1, 9], meas_params:[-0.2970387041383852, 0], noise_params:[0.0001, 0.00025118864315095795, 4.878097314695395], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.846760220016634, -0.2970387041383852, 4.878097314695395], encoded_infidelity:0.00012563091549849077, benchmark_infidelity:0.0003666816087605218, diff:-0.00024105069326203104, ratio:0.3426158075480131
