scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.796726064833032, 1, 9], meas_params:[-0.07089316620799765, 0], noise_params:[0.0018, 0.00025118864315095795, 8.408722369162085], init_params:[4, -0.34906585039886584, 15], optimal_params:[3.796726064833032, -0.07089316620799765, 8.408722369162085], encoded_infidelity:0.004902350430425528, benchmark_infidelity:0.005365908022284316, diff:-0.00046355759185878753, ratio:0.9136105967650473
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.7778772119717487, 1, 9], meas_params:[-0.070682517196071, 0], noise_params:[0.0019, 0.00025118864315095795, 8.612115396009443], init_params:[4, -0.34906585039886584, 15], optimal_params:[3.7778772119717487, -0.070682517196071, 8.612115396009443], encoded_infidelity:0.005432925362390706, benchmark_infidelity:0.005778435938052495, diff:-0.00034551057566178933, ratio:0.940206903846331
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.689942535719311, 1, 9], meas_params:[-0.0675751111504798, 0], noise_params:[0.002, 0.00025118864315095795, 9.016575972894763], init_params:[4, -0.34906585039886584, 15], optimal_params:[3.689942535719311, -0.0675751111504798, 9.016575972894763], encoded_infidelity:0.006135590381627587, benchmark_infidelity:0.006344481053178974, diff:-0.00020889067155138719, ratio:0.967075215482483
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.6523973868230977, 1, 9], meas_params:[-0.06454280541268732, 0], noise_params:[0.0021, 0.00025118864315095795, 9.094884736486325], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.6523973868230977, -0.06454280541268732, 9.094884736486325], encoded_infidelity:0.006646784430793473, benchmark_infidelity:0.0066979836990248565, diff:-5.119926823138332e-05, ratio:0.9923560177910201
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.598364024273697, 1, 9], meas_params:[-0.062453892605397215, 0], noise_params:[0.0022, 0.00025118864315095795, 9.275628651714987], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.598364024273697, -0.062453892605397215, 9.275628651714987], encoded_infidelity:0.0072554159373267035, benchmark_infidelity:0.007134525134372183, diff:0.00012089080295452082, ratio:1.0169444778282584
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.523609168381671, 1, 9], meas_params:[-0.05884301965502951, 0], noise_params:[0.0023, 0.00025118864315095795, 9.82249884378788], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.523609168381671, -0.05884301965502951, 9.82249884378788], encoded_infidelity:0.00819503573299274, benchmark_infidelity:0.007873529486132291, diff:0.00032150624686044793, ratio:1.0408338150541914
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.774271047301177, 1, 9], meas_params:[-0.09926294418619674, 0], noise_params:[0.0008, 0.00025118864315095795, 6.665082671376808], init_params:[5, -0.05, 7], optimal_params:[4.774271047301177, -0.09926294418619674, 6.665082671376808], encoded_infidelity:0.001075698692631466, benchmark_infidelity:0.002051979585837471, diff:-0.0009762808932060052, ratio:0.5242248509955048
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.437073454830027, 1, 9], meas_params:[-0.10735955411358815, 0], noise_params:[0.0004, 0.00025118864315095795, 6.55427383663763], init_params:[5, -0.05, 6.5], optimal_params:[5.437073454830027, -0.10735955411358815, 6.55427383663763], encoded_infidelity:0.00033147782966480577, benchmark_infidelity:0.0011469656128872963, diff:-0.0008154877832224905, ratio:0.289004156655024
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.080668004012013, 1, 9], meas_params:[-0.11157933589630126, 0], noise_params:[0.0002, 0.00025118864315095795, 6.7522041247425495], init_params:[5, -0.05, 6], optimal_params:[6.080668004012013, -0.11157933589630126, 6.7522041247425495], encoded_infidelity:0.0001050575319790914, benchmark_infidelity:0.0007322880112300423, diff:-0.0006272304792509509, ratio:0.1434647711938144
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.7366155866013635, 1, 9], meas_params:[-0.11407363757031992, 0], noise_params:[0.0001, 0.00025118864315095795, 7.023604306070302], init_params:[5, -0.05, 6], optimal_params:[6.7366155866013635, -0.11407363757031992, 7.023604306070302], encoded_infidelity:3.368711608453534e-05, benchmark_infidelity:0.0005278672472233126, diff:-0.0004941801311387772, ratio:0.06381740155642601
