scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.561453479371771, 4, 8.272320652814045], meas_params:[-0.055984317932421146, -0.11189475581517747], noise_params:[0.00015, 0.00039810717055349735, 4.971060048888523], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.561453479371771, 8.272320652814045, -0.055984317932421146, -0.11189475581517747, 4.971060048888523], encoded_infidelity:0.00033385061253132786, benchmark_infidelity:0.0005780332686139422, diff:-0.00024418265608261436, ratio:0.5775629719927081
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.810549769912248, 4, 8.608563274204657], meas_params:[-0.07303514889785534, -0.12847614333638724], noise_params:[0.0002, 0.00039810717055349735, 5.225455227517639], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.810549769912248, 8.608563274204657, -0.07303514889785534, -0.12847614333638724, 5.225455227517639], encoded_infidelity:0.0005175074220779008, benchmark_infidelity:0.0006945811061722651, diff:-0.0001770736840943643, ratio:0.7450640644831364
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.426415819200866, 4, 8.36165561390045], meas_params:[-0.07547574116904646, -0.1267261915142693], noise_params:[0.00025, 0.00039810717055349735, 5.09215786813352], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.426415819200866, 8.36165561390045, -0.07547574116904646, -0.1267261915142693, 5.09215786813352], encoded_infidelity:0.00071326078153644, benchmark_infidelity:0.0007616286809032369, diff:-4.836789936679686e-05, ratio:0.9364941203245708
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.048753542165974, 4, 8.020753614191825], meas_params:[-0.06939812315993618, -0.12740993165605036], noise_params:[0.0003, 0.00039810717055349735, 5.649433826018488], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[8.048753542165974, 8.020753614191825, -0.06939812315993618, -0.12740993165605036, 5.649433826018488], encoded_infidelity:0.0010487595608920097, benchmark_infidelity:0.0009389031575824935, diff:0.00010985640330951618, ratio:1.11700504191761
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.6772718041185275, 4, 7.557583240715806], meas_params:[-0.06608221284860276, -0.12125535504567057], noise_params:[0.00035, 0.00039810717055349735, 5.570223961765214], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[7.6772718041185275, 7.557583240715806, -0.06608221284860276, -0.12125535504567057, 5.570223961765214], encoded_infidelity:0.0013187271731410766, benchmark_infidelity:0.0010184109103921202, diff:0.0003003162627489564, ratio:1.294887122363335
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.4451651251304956, 4, 7.519470743092306], meas_params:[-0.06356055390192863, -0.12769157937451492], noise_params:[0.0004, 0.00039810717055349735, 6.171651395963744], init_params:[7, 8, -0.05, -0.1, 8], optimal_params:[7.4451651251304956, 7.519470743092306, -0.06356055390192863, -0.12769157937451492, 6.171651395963744], encoded_infidelity:0.0017808475284564196, benchmark_infidelity:0.0012308657751596286, diff:0.000549981753296791, ratio:1.4468251245554902
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.995044022138455, 4, 8.9918095965937], meas_params:[-0.0425484783785019, -0.10434861480294744], noise_params:[5e-05, 0.000630957344480193, 4.800647836844536], init_params:[8, 7, -0.05, -0.1, 8], optimal_params:[8.995044022138455, 8.9918095965937, -0.0425484783785019, -0.10434861480294744, 4.800647836844536], encoded_infidelity:0.0002611680627140345, benchmark_infidelity:0.0005843949657343694, diff:-0.00032322690302033497, ratio:0.44690334110911156
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999458463894268, 4, 8.995043889169642], meas_params:[-0.04477759938852534, -0.10167313979892001], noise_params:[6e-05, 0.000630957344480193, 3.9427734491032513], init_params:[8, 7, -0.05, -0.1, 8], optimal_params:[8.999458463894268, 8.995043889169642, -0.04477759938852534, -0.10167313979892001, 3.9427734491032513], encoded_infidelity:0.00021998347191465317, benchmark_infidelity:0.0004931620175204765, diff:-0.00027317854560582333, ratio:0.446067345211798
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.954377902281, 4, 8.986198612212373], meas_params:[-0.04698011918058441, -0.10179190879149214], noise_params:[7e-05, 0.000630957344480193, 4.1716602023944915], init_params:[8, 7, -0.05, -0.1, 8], optimal_params:[8.954377902281, 8.986198612212373, -0.04698011918058441, -0.10179190879149214, 4.1716602023944915], encoded_infidelity:0.000271565331028234, benchmark_infidelity:0.0005356654681148987, diff:-0.0002641001370866647, ratio:0.5069681493263329
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.992705232895121, 4, 8.994647939461299], meas_params:[-0.04591543307585118, -0.1024141797590109], noise_params:[8e-05, 0.000630957344480193, 3.730161631177959], init_params:[8, 7, -0.05, -0.1, 8], optimal_params:[8.992705232895121, 8.994647939461299, -0.04591543307585118, -0.1024141797590109, 3.730161631177959], encoded_infidelity:0.0002618546543557976, benchmark_infidelity:0.000491432789546109, diff:-0.00022957813519031145, ratio:0.5328391998377814
