scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.963198892033947, 4, 8.476714251533618], meas_params:[-0.1378499590281958, -0.14048366726253078], noise_params:[0.0004, 0.00015848931924611142, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.963198892033947, 8.476714251533618, -0.1378499590281958, -0.14048366726253078], encoded_infidelity:0.0002989412007842196, benchmark_infidelity:0.00015972189326485253, diff:0.00013921930751936706, ratio:1.8716357205239993
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999951131008789, 4, 8.684923120660908], meas_params:[-0.13286406751703592, -0.13626934666398374], noise_params:[0.00030000000000000003, 0.00015848931924611142, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999951131008789, 8.684923120660908, -0.13286406751703592, -0.13626934666398374], encoded_infidelity:0.0001695262682493981, benchmark_infidelity:0.0001263986291076824, diff:4.312763914171569e-05, ratio:1.3412033773323133
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999941974697887, 4, 8.816023693231333], meas_params:[-0.12916929483445405, -0.1340517955779565], noise_params:[0.00025, 0.00015848931924611142, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999941974697887, 8.816023693231333, -0.12916929483445405, -0.1340517955779565], encoded_infidelity:0.00012038727869700949, benchmark_infidelity:0.00010973605980135748, diff:1.0651218895652015e-05, ratio:1.097062159101873
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999692866163151, 4, 8.97417468900273], meas_params:[-0.09721340385103841, -0.10366251937904866], noise_params:[5e-05, 0.00015848931924611142, 1], init_params:[8.5, 8.5, -0.15, -0.15], optimal_params:[8.999692866163151, 8.97417468900273, -0.09721340385103841, -0.10366251937904866], encoded_infidelity:9.316292545524796e-06, benchmark_infidelity:4.307953378257512e-05, diff:-3.376324123705032e-05, ratio:0.21625797049115386
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99999912234404, 4, 8.989471365125123], meas_params:[-0.1014306121013549, -0.10966149353235397], noise_params:[0.0001, 0.0002511886431509582, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99999912234404, 8.989471365125123, -0.1014306121013549, -0.10966149353235397], encoded_infidelity:3.955173655734168e-05, benchmark_infidelity:7.519213529294522e-05, diff:-3.564039873560354e-05, ratio:0.5260089556341214
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.996833382214252, 4, 8.86856567550316], meas_params:[-0.11734977128235909, -0.12132937735580952], noise_params:[0.0002, 0.0002511886431509582, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.996833382214252, 8.86856567550316, -0.11734977128235909, -0.12132937735580952], encoded_infidelity:0.00011564484478210346, benchmark_infidelity:0.00010851962591862385, diff:7.12521886347961e-06, ratio:1.0656583433933198
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999884819396488, 4, 8.936654017621173], meas_params:[-0.11017713505851137, -0.11776006994089], noise_params:[0.00015000000000000001, 0.0002511886431509582, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999884819396488, 8.936654017621173, -0.11017713505851137, -0.11776006994089], encoded_infidelity:7.320019558021418e-05, benchmark_infidelity:9.185619305329684e-05, diff:-1.8655997473082664e-05, ratio:0.7968999492254368
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.997823674255606, 4, 8.892774000624982], meas_params:[-0.11348339446874756, -0.1196488425866426], noise_params:[0.00017500000000000003, 0.0002511886431509582, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.997823674255606, 8.892774000624982, -0.11348339446874756, -0.1196488425866426], encoded_infidelity:9.326477047955084e-05, benchmark_infidelity:0.00010018798759714453, diff:-6.923217117593694e-06, ratio:0.930897732516278
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99950326954113, 4, 8.941856265459354], meas_params:[-0.08581954692018545, -0.0940449099128995], noise_params:[5e-05, 0.00025118864315095795, 1], init_params:[8.5, 8.5, -0.15, -0.15], optimal_params:[8.99950326954113, 8.941856265459354, -0.08581954692018545, -0.0940449099128995], encoded_infidelity:1.4264579919931464e-05, benchmark_infidelity:5.8527452610035446e-05, diff:-4.426287269010398e-05, ratio:0.2437245990351813
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.997476526686231, 4, 8.98150844649588], meas_params:[-0.12240195082339106, -0.129822516696026], noise_params:[0.00025, 0.00025118864315095795, 1], init_params:[8.5, 8.5, -0.15, -0.15], optimal_params:[8.997476526686231, 8.98150844649588, -0.12240195082339106, -0.129822516696026], encoded_infidelity:0.0001679610938962739, benchmark_infidelity:0.00012518243391446138, diff:4.277865998181252e-05, ratio:1.3417305339425152
