scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.540035817710697, 3, 5.540035817710697], meas_params:[-0.09849010991319143, -0.09849010991319143], noise_params:[0.00015, 0.001, -1.1814160697048504], init_params:[2, -0.34906585039886584, 5], optimal_params:[5.304841106538619,0.02965476934754077,1.542233462886725], encoded_infidelity:0.002269335804580108, benchmark_infidelity:0.00033401509866359813, diff:0.00193532070591651, ratio:6.794111444841181
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.9346413333957475, 3, 6.9346413333957475], meas_params:[-0.11056660147490527, -0.11056660147490527], noise_params:[0.00015, 0.001, 3.2056174587151194], init_params:[4, -0.34906585039886584, 10], optimal_params:[6.9346413333957475, -0.11056660147490527, 3.2056174587151194], encoded_infidelity:0.0006083914823022951, benchmark_infidelity:0.0006939652832608223, diff:-8.557380095852718e-05, ratio:0.8766886427568382
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.9346413333957475, 3, 6.9346413333957475], meas_params:[-0.11056660147490527, -0.11056660147490527], noise_params:[0.00015, 0.001, 3.2056174587151194], init_params:[4, -0.34906585039886584, 10], optimal_params:[6.9346413333957475,-0.11056660147490527,3.2056174587151194], encoded_infidelity:0.0006083914823022951, benchmark_infidelity:0.0006939652832608223, diff:-8.557380095852718e-05, ratio:0.8766886427568382
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.730367117097099, 3, 6.730367117097099], meas_params:[-0.10410074171275138, -0.10410074171275138], noise_params:[0.00015, 0.001, 3.509346441244058], init_params:[6, -0.34906585039886584, 15], optimal_params:[6.730367117097099, -0.10410074171275138, 3.509346441244058], encoded_infidelity:0.0006680701116823506, benchmark_infidelity:0.0007596571282549869, diff:-9.158701657263624e-05, ratio:0.8794363757462247
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.730367117097099, 3, 6.730367117097099], meas_params:[-0.10410074171275138, -0.10410074171275138], noise_params:[0.00015, 0.001, 3.509346441244058], init_params:[6, -0.34906585039886584, 15], optimal_params:[6.730367117097099,-0.10410074171275138,3.509346441244058], encoded_infidelity:0.0006680701116823506, benchmark_infidelity:0.0007596571282549869, diff:-9.158701657263624e-05, ratio:0.8794363757462247
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.9485360157011655, 3, 6.9485360157011655], meas_params:[-0.11268640417851519, -0.11268640417851519], noise_params:[0.00015, 0.001, -0.33818990165574725], init_params:[8, -0.34906585039886584, 20], optimal_params:[6.344952457644139,-0.06027029864580606,1.632429954692638], encoded_infidelity:0.0006012578832464976, benchmark_infidelity:0.0003535413635381568, diff:0.00024771651970834085, ratio:1.7006719588035006
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.9901624074920825, 4, 7.9901624074920825], meas_params:[-0.02650813569572659, -0.02650813569572659], noise_params:[0.0001, 0.001, -1.298972040170053], init_params:[2, -0.2945243112740431, 5], optimal_params:[6.5999497592395,-0.020212873274076688,0.9619412126651659], encoded_infidelity:0.0007350101114589336, benchmark_infidelity:0.00019234082757524362, diff:0.00054266928388369, ratio:3.8213941404166936
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.741899351637011, 4, 8.741899351637011], meas_params:[-0.07346216706202516, -0.07346216706202516], noise_params:[0.0001, 0.001, -1.7668972974736246], init_params:[4, -0.2945243112740431, 10], optimal_params:[8.534790127220129,-0.04071875179873048,0.7578701116398356], encoded_infidelity:0.00031207338680749874, benchmark_infidelity:0.0001515445900489576, diff:0.00016052879675854115, ratio:2.059284245690863
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.55053096792491, 4, 8.55053096792491], meas_params:[-0.044919422585006155, -0.044919422585006155], noise_params:[0.0001, 0.001, -4.372390276507786], init_params:[6, -0.2945243112740431, 15], optimal_params:[8.625576639739858,-0.03374754615976487,2.2263279225726844], encoded_infidelity:0.0006004987712823207, benchmark_infidelity:0.00044501166431487604, diff:0.0001554871069674446, ratio:1.3494000706853988
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.420871221490636, 4, 7.420871221490636], meas_params:[-0.04385224015309394, -0.04385224015309394], noise_params:[0.0001, 0.001, 9.198926015018067], init_params:[8, -0.2945243112740431, 20], optimal_params:[7.420871221490636, -0.04385224015309394, 9.198926015018067], encoded_infidelity:0.0075650083832327075, benchmark_infidelity:0.0018354556231745534, diff:0.005729552760058154, ratio:4.12159699625343
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.420871221490636, 4, 7.420871221490636], meas_params:[-0.04385224015309394, -0.04385224015309394], noise_params:[0.0001, 0.001, 9.198926015018067], init_params:[8, -0.2945243112740431, 20], optimal_params:[7.420871221490636,-0.04385224015309394,9.198926015018067], encoded_infidelity:0.0075650083832327075, benchmark_infidelity:0.0018354556231745534, diff:0.005729552760058154, ratio:4.12159699625343
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.9901624074920825, 4, 7.9901624074920825], meas_params:[-0.02650813569572659, -0.02650813569572659], noise_params:[5e-05, 0.001, -1.298972040170053], init_params:[2, -0.2945243112740431, 5], optimal_params:[6.5999497592395,-0.020212873274076688,0.9619412126651659], encoded_infidelity:0.000532603406285248, benchmark_infidelity:0.00017631319598132578, diff:0.00035629021030392227, ratio:3.0207801708821544
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.803055089840626, 4, 8.803055089840626], meas_params:[-0.08768643494487585, -0.08768643494487585], noise_params:[5e-05, 0.001, -2.7563337228403784], init_params:[4, -0.2945243112740431, 10], optimal_params:[8.461403241375791,-0.023649630339309672,1.9451938220799398], encoded_infidelity:0.0003258195786258744, benchmark_infidelity:0.0003564443209250756, diff:-3.06247422992012e-05, ratio:0.9140826757466042
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.507020816986319, 4, 7.507020816986319], meas_params:[-0.010630552295993079, -0.010630552295993079], noise_params:[5e-05, 0.001, -2.554776306306927], init_params:[6, -0.2945243112740431, 15], optimal_params:[7.940011904739546,-0.012716636007618316,2.6022430837414205], encoded_infidelity:0.0005232003036317323, benchmark_infidelity:0.00047676555604658777, diff:4.643474758514454e-05, ratio:1.0973953487122445
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.99998710290304, 4, 8.99998710290304], meas_params:[-0.019805527079362575, -0.019805527079362575], noise_params:[5e-05, 0.001, 30.82531322715878], init_params:[8, -0.2945243112740431, 20], optimal_params:[8.99998710290304, -0.019805527079362575, 30.82531322715878], encoded_infidelity:0.05946808878631871, benchmark_infidelity:0.0056076942750388215, diff:0.053860394511279885, ratio:10.604730905360745
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.99998710290304, 4, 8.99998710290304], meas_params:[-0.019805527079362575, -0.019805527079362575], noise_params:[5e-05, 0.001, 30.82531322715878], init_params:[8, -0.2945243112740431, 20], optimal_params:[8.99998710290304,-0.019805527079362575,30.82531322715878], encoded_infidelity:0.05946808878631871, benchmark_infidelity:0.0056076942750388215, diff:0.053860394511279885, ratio:10.604730905360745
